"","GEOID","total","over_200","percent"
"298","06037135113",1199,40,3.33611342785655
"299","06037135114",2420,137,5.66115702479339
"300","06037135201",888,119,13.4009009009009
"301","06037135202",1514,153,10.105680317041
"302","06037135203",2508,208,8.29346092503987
"303","06037137000",1742,335,19.2307692307692
"304","06037137103",2026,166,8.19348469891412
"305","06037137104",1088,147,13.5110294117647
"306","06037137201",2289,103,4.49978156400175
"307","06037137301",745,192,25.7718120805369
"308","06037137302",1611,201,12.4767225325885
"309","06037137401",1609,182,11.3113735239279
"310","06037137402",2015,391,19.4044665012407
"311","06037137501",1529,206,13.4728580771746
"312","06037137502",1716,248,14.4522144522145
"313","06037137504",618,205,33.1715210355987
"314","06037138000",1846,460,24.9187432286024
"315","06037139001",1959,136,6.94231750893313
"316","06037139200",2235,46,2.05816554809843
"317","06037139301",1586,185,11.6645649432535
"318","06037139302",1875,62,3.30666666666667
"319","06037139303",1895,36,1.89973614775726
"320","06037139401",1204,19,1.578073089701
"321","06037139402",978,300,30.6748466257669
"322","06037139502",1208,90,7.45033112582782
"323","06037139503",2572,114,4.43234836702955
"324","06037139504",1761,0,0
"325","06037139600",2119,396,18.6880604058518
"326","06037139701",1892,588,31.0782241014799
"327","06037139702",2342,959,40.9479077711358
"328","06037139703",982,322,32.7902240325866
"329","06037139801",1188,442,37.2053872053872
"330","06037139802",1348,473,35.0890207715134
"331","06037141101",2243,158,7.04413731609452
"332","06037141102",1347,240,17.8173719376392
"333","06037141201",1919,78,4.06461698801459
"334","06037141202",1325,247,18.6415094339623
"335","06037141302",2859,215,7.52011192724729
"336","06037141303",1704,80,4.69483568075117
"337","06037141304",1524,145,9.51443569553806
"338","06037141400",1969,416,21.1274758760792
"339","06037141500",1099,494,44.9499545040946
"340","06037141600",1593,558,35.0282485875706
"341","06037141700",1266,453,35.781990521327
"342","06037143100",2082,380,18.2516810758886
"343","06037143200",1909,81,4.24305919329492
"344","06037143300",2875,238,8.27826086956522
"345","06037143400",2765,424,15.3345388788427
"346","06037143500",2108,305,14.4686907020873
"347","06037143602",1982,324,16.3471241170535
"348","06037143603",1239,130,10.4923325262308
"349","06037143604",1887,95,5.0344462109168
"350","06037143700",1842,434,23.5613463626493
"351","06037143800",2291,568,24.7926669576604
"352","06037143901",1705,633,37.1260997067449
"353","06037143902",1412,244,17.2804532577904
"354","06037181000",2317,298,12.8614587829089
"355","06037181300",1322,79,5.97579425113464
"356","06037181400",1649,168,10.1879927228623
"357","06037181500",1266,102,8.05687203791469
"358","06037181600",987,37,3.74873353596758
"359","06037183101",1321,81,6.13171839515519
"360","06037183103",1396,10,0.716332378223496
"361","06037183104",748,4,0.53475935828877
"362","06037183220",1168,0,0
"363","06037183221",1040,55,5.28846153846154
"364","06037183222",1278,58,4.53834115805947
"365","06037183300",1025,39,3.80487804878049
"366","06037183401",803,34,4.23412204234122
"367","06037183402",870,28,3.2183908045977
"368","06037183510",741,6,0.809716599190283
"369","06037183520",1028,9,0.875486381322957
"370","06037183610",958,3,0.313152400835073
"371","06037183620",963,20,2.07684319833853
"372","06037183701",1188,15,1.26262626262626
"373","06037183702",1106,41,3.70705244122966
"374","06037183810",1197,0,0
"375","06037183820",962,0,0
"376","06037185100",2084,219,10.5086372360845
"377","06037185202",1335,35,2.62172284644195
"378","06037185203",941,74,7.86397449521785
"379","06037185204",669,94,14.050822122571
"380","06037185310",779,6,0.770218228498075
"381","06037185320",903,0,0
"382","06037186100",1710,47,2.74853801169591
"383","06037186201",1091,13,1.19156736938588
"384","06037186202",673,30,4.45765230312036
"385","06037186203",1111,54,4.86048604860486
"386","06037186301",883,38,4.3035107587769
"387","06037186302",1733,130,7.50144258511252
"388","06037186401",989,22,2.22446916076845
"389","06037186403",832,15,1.80288461538462
"390","06037186404",668,3,0.449101796407186
"391","06037187101",1285,11,0.856031128404669
"392","06037187102",1109,54,4.8692515779982
"393","06037187200",907,0,0
"394","06037187300",1514,93,6.14266842800528
"395","06037188100",1726,43,2.49130938586327
"396","06037188201",1938,45,2.32198142414861
"397","06037188202",1189,341,28.6795626576955
"398","06037188300",1382,68,4.92040520984081
"399","06037189101",1482,54,3.64372469635628
"400","06037189102",1677,147,8.76565295169946
"401","06037189201",1896,37,1.95147679324895
"402","06037189202",1237,204,16.4915117219078
"403","06037189300",1413,546,38.6411889596603
"404","06037189400",1826,378,20.7009857612267
"405","06037189500",2886,185,6.41025641025641
"406","06037189600",2085,181,8.6810551558753
"407","06037189701",2169,391,18.0267404333794
"408","06037189702",1379,208,15.0833937635968
"409","06037189800",2324,177,7.61617900172117
"410","06037189902",3142,40,1.27307447485678
"411","06037189903",1376,129,9.375
"412","06037189904",1504,44,2.92553191489362
"413","06037189905",1523,61,4.00525279054498
"414","06037190100",2674,63,2.35602094240838
"415","06037190201",1499,0,0
"416","06037190202",2137,28,1.3102480112307
"417","06037190301",2280,32,1.40350877192982
"418","06037190401",1752,30,1.71232876712329
"419","06037190402",1279,0,0
"420","06037190510",1596,10,0.6265664160401
"421","06037190520",1589,23,1.44745122718691
"422","06037190700",1786,31,1.73572228443449
"423","06037190801",1353,9,0.665188470066519
"424","06037190802",1335,0,0
"425","06037190901",1407,6,0.426439232409382
"426","06037190902",1602,34,2.12234706616729
"427","06037191000",1594,33,2.0702634880803
"428","06037191110",1128,30,2.65957446808511
"429","06037191120",1553,0,0
"430","06037191201",1643,17,1.03469263542301
"431","06037191203",1171,6,0.512382578992314
"432","06037191204",793,3,0.378310214375788
"433","06037191301",984,0,0
"434","06037191302",961,0,0
"435","06037191410",1704,0,0
"436","06037191420",1169,0,0
"437","06037191500",1686,9,0.533807829181495
"438","06037191610",1380,32,2.31884057971015
"439","06037191620",977,27,2.76356192425793
"440","06037191710",1286,19,1.47744945567652
"441","06037191720",1340,16,1.19402985074627
"442","06037191810",1356,36,2.65486725663717
"443","06037191820",1167,24,2.05655526992288
"444","06037191901",1905,37,1.94225721784777
"445","06037191902",1485,202,13.6026936026936
"446","06037192001",1161,51,4.39276485788114
"447","06037192002",1350,225,16.6666666666667
"448","06037192300",1640,197,12.0121951219512
"449","06037192410",1772,107,6.03837471783296
"450","06037192420",1349,31,2.29799851742031
"451","06037192510",1208,3,0.248344370860927
"452","06037192520",1566,0,0
"453","06037192610",1429,6,0.419874037788663
"454","06037192620",1285,0,0
"455","06037192700",1054,7,0.664136622390892
"456","06037194101",1705,176,10.3225806451613
